t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
43.1,24.63,65.8,64.7,1500,calibration_wizard,38.3
43.1,24.63,65.8,64.7,1500,gui_server,57.1
43.1,24.63,65.8,64.7,1500,measure_load.py,2.6
46.2,24.58,65.9,65.0,1500,astra_camera_container,24.3
46.2,24.58,65.9,65.0,1500,ydlidar_ros2_driver_node,2.6
46.2,24.58,65.9,65.0,1500,joy_node,3.9
46.2,24.58,65.9,65.0,1500,servo_controller,31.5
46.2,24.58,65.9,65.0,1500,tunnel_wall_follower,7.5
46.2,24.58,65.9,65.0,1500,road_perception,54.2
46.2,24.58,65.9,65.0,1500,local_memory,25.9
46.2,24.58,65.9,65.0,1500,uwb_ranges,1.3
46.2,24.58,65.9,65.0,1500,local_pose,36.6
46.2,24.58,65.9,65.0,1500,global_pose,29.8
46.2,24.58,65.9,65.0,1500,global_planner,3.2
46.2,24.58,65.9,65.0,1500,mission_logic,39.2
46.2,24.58,65.9,65.0,1500,corridor,36.0
46.2,24.58,65.9,65.0,1500,local_planner,42.2
46.2,24.58,65.9,65.0,1500,parking_planner,46.7
46.2,24.58,65.9,65.0,1500,recovery_planner,58.0
46.2,24.58,65.9,65.0,1500,path_tracker,35.0
46.2,24.58,65.9,65.0,1500,tunnel_bridge,21.4
46.2,24.58,65.9,65.0,1500,safety_monitor,42.2
46.2,24.58,65.9,65.0,1500,command_owner,42.8
46.2,24.58,65.9,65.0,1500,bpu_detector,40.2
46.2,24.58,65.9,65.0,1500,system_monitor,50.6
46.2,24.58,65.9,65.0,1500,calibration_wizard,39.9
46.2,24.58,65.9,65.0,1500,gui_server,56.4
46.2,24.58,65.9,65.0,1500,measure_load.py,2.9
49.3,24.29,65.9,65.0,1500,astra_camera_container,24.3
49.3,24.29,65.9,65.0,1500,ydlidar_ros2_driver_node,2.9
49.3,24.29,65.9,65.0,1500,joy_node,3.9
49.3,24.29,65.9,65.0,1500,servo_controller,30.7
49.3,24.29,65.9,65.0,1500,tunnel_wall_follower,7.4
49.3,24.29,65.9,65.0,1500,road_perception,52.4
49.3,24.29,65.9,65.0,1500,local_memory,26.2
49.3,24.29,65.9,65.0,1500,uwb_ranges,1.9
49.3,24.29,65.9,65.0,1500,local_pose,34.9
49.3,24.29,65.9,65.0,1500,global_pose,29.1
49.3,24.29,65.9,65.0,1500,global_planner,3.2
49.3,24.29,65.9,65.0,1500,mission_logic,40.1
49.3,24.29,65.9,65.0,1500,corridor,35.6
49.3,24.29,65.9,65.0,1500,local_planner,43.0
49.3,24.29,65.9,65.0,1500,parking_planner,46.6
49.3,24.29,65.9,65.0,1500,recovery_planner,54.0
49.3,24.29,65.9,65.0,1500,path_tracker,34.6
49.3,24.29,65.9,65.0,1500,tunnel_bridge,20.7
49.3,24.29,65.9,65.0,1500,safety_monitor,41.7
49.3,24.29,65.9,65.0,1500,command_owner,41.7
49.3,24.29,65.9,65.0,1500,bpu_detector,42.7
49.3,24.29,65.9,65.0,1500,system_monitor,53.4
49.3,24.29,65.9,65.0,1500,calibration_wizard,39.8
49.3,24.29,65.9,65.0,1500,gui_server,59.9
49.3,24.29,65.9,65.0,1500,measure_load.py,2.3
52.4,24.29,66.1,65.0,1500,astra_camera_container,24.6
52.4,24.29,66.1,65.0,1500,ydlidar_ros2_driver_node,2.3
52.4,24.29,66.1,65.0,1500,joy_node,4.2
52.4,24.29,66.1,65.0,1500,servo_controller,31.7
52.4,24.29,66.1,65.0,1500,tunnel_wall_follower,7.4
52.4,24.29,66.1,65.0,1500,road_perception,51.1
52.4,24.29,66.1,65.0,1500,local_memory,26.2
52.4,24.29,66.1,65.0,1500,uwb_ranges,1.3
52.4,24.29,66.1,65.0,1500,local_pose,36.9
52.4,24.29,66.1,65.0,1500,global_pose,29.8
52.4,24.29,66.1,65.0,1500,global_planner,2.9
52.4,24.29,66.1,65.0,1500,mission_logic,42.4
52.4,24.29,66.1,65.0,1500,corridor,36.2
52.4,24.29,66.1,65.0,1500,local_planner,44.3
52.4,24.29,66.1,65.0,1500,parking_planner,45.3
52.4,24.29,66.1,65.0,1500,recovery_planner,53.7
52.4,24.29,66.1,65.0,1500,path_tracker,34.0
52.4,24.29,66.1,65.0,1500,tunnel_bridge,20.1
52.4,24.29,66.1,65.0,1500,safety_monitor,40.1
52.4,24.29,66.1,65.0,1500,command_owner,40.8
52.4,24.29,66.1,65.0,1500,bpu_detector,45.6
52.4,24.29,66.1,65.0,1500,system_monitor,49.2
52.4,24.29,66.1,65.0,1500,calibration_wizard,43.0
52.4,24.29,66.1,65.0,1500,gui_server,57.3
52.4,24.29,66.1,65.0,1500,measure_load.py,2.6
55.4,23.31,66.1,65.1,1500,astra_camera_container,23.7
55.4,23.31,66.1,65.1,1500,ydlidar_ros2_driver_node,2.6
55.4,23.31,66.1,65.1,1500,joy_node,4.2
55.4,23.31,66.1,65.1,1500,servo_controller,31.4
55.4,23.31,66.1,65.1,1500,tunnel_wall_follower,6.8
55.4,23.31,66.1,65.1,1500,road_perception,50.6
55.4,23.31,66.1,65.1,1500,local_memory,27.6
55.4,23.31,66.1,65.1,1500,uwb_ranges,1.6
55.4,23.31,66.1,65.1,1500,local_pose,37.6
55.4,23.31,66.1,65.1,1500,global_pose,29.8
55.4,23.31,66.1,65.1,1500,global_planner,3.2
55.4,23.31,66.1,65.1,1500,mission_logic,40.5
55.4,23.31,66.1,65.1,1500,corridor,36.0
55.4,23.31,66.1,65.1,1500,local_planner,41.8
55.4,23.31,66.1,65.1,1500,parking_planner,47.0
55.4,23.31,66.1,65.1,1500,recovery_planner,54.1
55.4,23.31,66.1,65.1,1500,path_tracker,32.4
55.4,23.31,66.1,65.1,1500,tunnel_bridge,20.4
55.4,23.31,66.1,65.1,1500,safety_monitor,42.1
55.4,23.31,66.1,65.1,1500,command_owner,40.5
55.4,23.31,66.1,65.1,1500,bpu_detector,41.8
55.4,23.31,66.1,65.1,1500,system_monitor,57.1
55.4,23.31,66.1,65.1,1500,calibration_wizard,39.2
55.4,23.31,66.1,65.1,1500,gui_server,59.0
55.4,23.31,66.1,65.1,1500,measure_load.py,2.6
58.5,22.72,66.2,65.2,1500,astra_camera_container,23.7
58.5,22.72,66.2,65.2,1500,ydlidar_ros2_driver_node,2.6
58.5,22.72,66.2,65.2,1500,joy_node,3.9
