t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
55.5,21.77,68.4,67.2,1500,global_pose,30.4
55.5,21.77,68.4,67.2,1500,global_planner,3.2
55.5,21.77,68.4,67.2,1500,mission_logic,33.7
55.5,21.77,68.4,67.2,1500,corridor,30.8
55.5,21.77,68.4,67.2,1500,local_planner,35.6
55.5,21.77,68.4,67.2,1500,parking_planner,47.6
55.5,21.77,68.4,67.2,1500,recovery_planner,63.5
55.5,21.77,68.4,67.2,1500,path_tracker,29.1
55.5,21.77,68.4,67.2,1500,tunnel_bridge,21.7
55.5,21.77,68.4,67.2,1500,safety_monitor,39.2
55.5,21.77,68.4,67.2,1500,command_owner,36.9
55.5,21.77,68.4,67.2,1500,bpu_detector,47.9
55.5,21.77,68.4,67.2,1500,system_monitor,49.9
